pointer, money, price, salary, sales, production, storage, workers, labor_capacity, plan, profit, time
0597C998, 24507.7, 2.08788, 4, 200, 80, 739.015, 16, 16, 77.5909, 136, 175
0597C998, 24643.7, 2.52633, 2.90909, 200, 110, 769.852, 22, 22, 105.37, 136, 176
0597C998, 24779.7, 2.04633, 4, 200, 80, 752.11, 16, 16, 79.1662, 136, 177
0597C998, 24915.7, 2.47606, 2.90909, 200, 110, 781.336, 22, 22, 107.51, 136, 178
0597C998, 25051.7, 2.00561, 3.76471, 200, 85, 766.617, 17, 17, 80.7738, 136, 179
0597C998, 25187.7, 2.42678, 2.90909, 200, 110, 794.208, 22, 22, 109.693, 136, 180
0597C998, 25323.7, 1.96569, 3.76471, 200, 85, 777.462, 17, 17, 82.4137, 136, 181
0597C998, 25459.7, 2.37849, 2.78261, 200, 115, 808.38, 23, 23, 111.92, 136, 182
0597C998, 25595.7, 1.92658, 3.76471, 200, 85, 789.571, 17, 17, 84.0868, 136, 183
0597C998, 25731.7, 2.33116, 2.78261, 200, 115, 818.78, 23, 23, 114.192, 136, 184
0597C998, 25867.7, 1.88824, 3.55556, 200, 90, 802.86, 18, 18, 85.7942, 136, 185
0597C998, 26003.7, 2.28477, 2.66667, 200, 120, 835.323, 24, 24, 116.511, 136, 186
0597C998, 26139.7, 1.85066, 3.55556, 200, 90, 817.254, 18, 18, 87.5365, 136, 187
0597C998, 26275.7, 2.2393, 2.66667, 200, 120, 847.936, 24, 24, 118.876, 136, 188
0597C998, 26411.7, 1.81383, 3.55556, 200, 90, 827.669, 18, 18, 89.3137, 136, 189
0597C998, 26547.7, 2.19474, 2.56, 200, 125, 861.544, 25, 25, 121.29, 136, 190
0597C998, 26683.7, 1.77774, 3.36842, 200, 95, 844.044, 19, 19, 91.127, 136, 191
0597C998, 26819.7, 2.15106, 2.56, 200, 125, 876.063, 25, 25, 123.753, 136, 192
0597C998, 26955.7, 1.74236, 3.36842, 200, 95, 856.28, 19, 19, 92.9774, 136, 193
0597C998, 27091.7, 2.10826, 2.46154, 200, 130, 891.419, 26, 26, 126.266, 136, 194
0597C998, 27227.7, 1.70769, 3.36842, 200, 95, 869.305, 19, 19, 94.8653, 136, 195
0597C998, 27363.7, 2.0663, 2.46154, 200, 130, 902.516, 26, 26, 128.829, 136, 196
0597C998, 27499.7, 1.67371, 3.2, 200, 100, 883.021, 20, 20, 96.7911, 136, 197
0597C998, 27635.7, 2.02518, 2.37037, 200, 135, 919.266, 27, 27, 131.445, 136, 198
0597C998, 27771.7, 1.6404, 3.2, 200, 100, 897.342, 20, 20, 98.7564, 136, 199
0597C998, 27907.7, 1.98488, 2.37037, 200, 135, 931.585, 27, 27, 134.114, 136, 200
0597C998, 28043.7, 1.60775, 3.04762, 200, 105, 912.185, 21, 21, 100.762, 136, 201
0597C998, 28179.7, 1.94538, 2.28571, 200, 140, 949.377, 28, 28, 136.837, 136, 202
0597C998, 28315.7, 1.57576, 3.04762, 200, 105, 927.448, 21, 21, 102.808, 136, 203
0597C998, 28451.7, 1.90667, 2.28571, 200, 140, 962.558, 28, 28, 139.615, 136, 204
0597C998, 28587.7, 1.5444, 3.04762, 200, 105, 938.058, 21, 21, 104.895, 136, 205
0597C998, 28723.7, 1.86873, 2.2069, 200, 145, 976.032, 29, 29, 142.45, 136, 206
0597C998, 28859.7, 1.51367, 2.90909, 200, 110, 953.903, 22, 22, 107.025, 136, 207
0597C998, 28995.7, 1.83154, 2.13333, 200, 150, 994.703, 30, 30, 145.342, 136, 208
0597C998, 29131.7, 1.48355, 2.90909, 200, 110, 969.888, 22, 22, 109.198, 136, 209
0597C998, 29267.7, 1.79509, 2.13333, 200, 150, 1008.46, 30, 30, 148.293, 136, 210
0597C998, 29403.7, 1.45402, 2.78261, 200, 115, 985.915, 23, 23, 111.415, 136, 211
0597C998, 29539.7, 1.75937, 2.06452, 200, 155, 1027.24, 31, 31, 151.304, 136, 212
0597C998, 29675.7, 1.42509, 2.78261, 200, 115, 1001.91, 23, 23, 113.677, 136, 213
0597C998, 29811.7, 1.72436, 2.06452, 200, 155, 1040.92, 31, 31, 154.376, 136, 214
0597C998, 29947.7, 1.39673, 2.66667, 200, 120, 1017.73, 24, 24, 115.985, 136, 215
0597C998, 30083.7, 1.69004, 2, 200, 160, 1059.39, 32, 32, 157.511, 136, 216
0597C998, 30219.7, 1.36894, 2.66667, 200, 120, 1033.3, 24, 24, 118.34, 136, 217
0597C998, 30355.7, 1.65641, 1.93939, 200, 165, 1077.55, 33, 33, 160.709, 136, 218
0597C998, 30491.7, 1.34169, 2.56, 200, 125, 1053.48, 25, 25, 120.743, 136, 219
0597C998, 30627.7, 1.62345, 1.93939, 200, 165, 1095.28, 33, 33, 163.972, 136, 220
0597C998, 30763.7, 1.31499, 2.56, 200, 125, 1068.18, 25, 25, 123.195, 136, 221
0597C998, 30899.7, 1.59114, 1.88235, 200, 170, 1112.48, 34, 34, 167.301, 136, 222
0597C998, 31035.7, 1.28883, 2.46154, 200, 130, 1087.3, 26, 26, 125.696, 136, 223
0597C998, 31171.7, 1.55948, 1.82857, 200, 175, 1134.05, 35, 35, 170.698, 136, 224
0597C998, 31307.7, 1.26318, 2.46154, 200, 130, 1105.73, 26, 26, 128.248, 136, 225
0597C998, 31443.7, 1.52844, 1.82857, 200, 175, 1149.87, 35, 35, 174.164, 136, 226
0597C998, 31579.7, 1.23804, 2.37037, 200, 135, 1123.32, 27, 27, 130.852, 136, 227
0597C998, 31715.7, 1.49803, 1.77778, 200, 180, 1169.8, 36, 36, 177.7, 136, 228
0597C998, 31851.7, 1.2134, 2.37037, 200, 135, 1139.98, 27, 27, 133.509, 136, 229
0597C998, 31987.7, 1.46822, 1.72973, 200, 185, 1188.75, 37, 37, 181.308, 136, 230
0597C998, 32123.7, 1.18926, 2.28571, 200, 140, 1160.59, 28, 28, 136.22, 136, 231
0597C998, 32259.7, 1.439, 1.72973, 200, 185, 1206.6, 37, 37, 184.99, 136, 232
0597C998, 32395.7, 1.16559, 2.28571, 200, 140, 1175.01, 28, 28, 138.985, 136, 233
0597C998, 32531.7, 1.41036, 1.68421, 200, 190, 1223.22, 38, 38, 188.746, 136, 234
0597C998, 32667.7, 1.1424, 2.2069, 200, 145, 1193.14, 29, 29, 141.807, 136, 235
0597C998, 32803.7, 1.3823, 1.64103, 200, 195, 1243.47, 39, 39, 192.577, 136, 236
0597C998, 32939.7, 1.11966, 2.2069, 200, 145, 1209.85, 29, 29, 144.687, 136, 237
0597C998, 33075.7, 1.35479, 1.6, 200, 200, 1262.22, 40, 40, 196.488, 136, 238
0597C998, 33211.7, 1.09738, 2.13333, 200, 150, 1229.97, 30, 30, 147.624, 136, 239
0597C998, 33347.7, 1.32783, 1.56098, 200, 205, 1284.36, 41, 41, 200.477, 136, 240
0597C998, 33483.7, 1.07554, 2.06452, 200, 155, 1253.4, 31, 31, 150.622, 136, 241
0597C998, 33619.7, 1.30141, 1.56098, 200, 205, 1304.71, 41, 41, 204.548, 136, 242
0597C998, 33755.7, 1.05414, 2.06452, 200, 155, 1269.99, 31, 31, 153.68, 136, 243
0597C998, 33891.7, 1.27551, 1.52381, 200, 210, 1323.18, 42, 42, 208.701, 136, 244
0597C998, 34027.7, 1.03316, 2, 200, 160, 1289.6, 32, 32, 156.8, 136, 245
0597C998, 34163.7, 1.25013, 1.48837, 200, 215, 1344.61, 43, 43, 212.938, 136, 246
0597C998, 34299.7, 1.0126, 2, 200, 160, 1307.1, 32, 32, 159.984, 136, 247
0597C998, 34435.7, 1.22525, 1.45455, 200, 220, 1363.87, 44, 44, 217.262, 136, 248
